"","X","id","institution_code","star","flag","scientificName","collectors","collectors_parsed","collector_number_prefix","collector_number","collector_number_suffix","early_julian_day","late_julian_day","verbatim_date","county","elevation","locality","locality_parsed","geocoded","longitude","latitude","datum","georeference_source","township_range_section","error_radius","error_radius_units","current_name","current_name_binomial","current_genus","current_species","clade","dataset","cloned_geocode","jepson_flag","flagged_record_corrected","maxent_index","naturalised","cultivated","possible_mislabel","exclude_species","jepson_flag_october","new_flag","exclude_clade","x_epsg_3310","y_epsg_3310","Tave_wt","Tave_sp","Tave_sm","Tave_at","Tmin_wt","Tmax_sm","PPT_wt","PPT_sp","PPT_sm","PPT_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD5","DD_0","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","year","aet","cwd","cwd_gs","pet","ppt","soil_mean","soil_min","srad","swe_max","tmax","tmin","vpd_max","vpd_spr","vpd_gs"
"593",7573,"POM270125","","","","Quercus douglasii","Lyman Benson","Lyman Benson","","7658","","5/30/1936","5/30/1936","May 30 1936","Kern","915 m","   Greenhorn Mountains. South rim of Kern canyon.","Greenhorn Mountains. South of rim of Kern canyon.","yes",-118.6738,35.5152,"WGS84","Geolocate (copied from DS308142)","",4.25,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.092801782,NA,NA,NA,NA,"no",NA,NA,120164.06123842,-277133.011974061,6.1,11.9,23,15.2,0.6,31.2,227,155,12,103,14,24.6,5.6,19.1,497,45,48.4,551.7,3401,52,303,95,317,223,7,-16.8,41.4,1255,893,18.9,58,1936,353.1,1206.4,164.716666666667,1559.8,387.3,31.6833333333333,13.3,215.091666666667,0,31.3,0.5,2.17,1.01,1.63666666666667
"594",7574,"POM270123","","","","Quercus douglasii","Lyman Benson","Lyman Benson","","4423","","5/30/1933","5/30/1933","May 30 1933","Kern","3000 ft","   Mt. Breckenridge. Mt. Range: Greenhorn","Mount Breckenridge. Mountain Range: Greenhorn","yes",-118.7279,35.4383,"WGS84","iTouch Map (copied from DS218777)","",10,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.224018455,NA,NA,NA,NA,"no",NA,NA,115377.081047398,-285740.802071549,7.7,13.6,24.4,16.7,2.1,32.9,146,103,10,66,15.6,26.1,7.2,18.8,325,28,78.8,929,3931,33,326,72,329,258,2,-13.4,42.5,1331,1021,18.8,58,1933,337.6,1317.9,177.7,1655.3,364.6,22.975,10.5,213.966666666667,0,33.1,1.7,2.49,1.195,1.89666666666667
"595",7575,"POM270120","","","","Quercus douglasii","Lyman Benson","Lyman Benson","","3385","","4/24/1932","4/24/1932","Apr 24 1932","Kern","1220 m","   N end Tehachapi Valley; Tehachapi Mt. range; Caliente Creek watershed","North end of Tehachapi Valley; Tehachapi Mountains range; Caliente Creek watershed","yes",-118.4661111,35.16611111,"","Consortium of CA Herbaria","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.36420452,NA,NA,NA,NA,"no",NA,NA,139607.987786773,-315614.002651895,5.6,10.9,21.9,14.5,0.7,29.2,123,72,16,56,13.2,23.6,5,18.6,268,31,86.8,751.4,3142,60,303,96,317,221,5,-16.7,40.1,1163,911,19.9,62,1932,261.5,1285.2,168.283333333333,1546.9,277.3,15.0916666666667,7.9,216.183333333333,0,31,-0.0999999999999943,2.26,0.935,1.59333333333333
"596",7576,"UCD45735","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1872","13","9/24/1948","9/24/1948","09 24 1948","Kern","","   Above Cameron Creek, 1.4 miles from Highway 466, ca. 9 miles east-southeast of Tehahcapi, Kern County, California","Above Cameron Creek, 1.4 miles from Highway 466, ca. 9 miles east-southeast of Tehahcapi, Kern County, California","yes",-118.272,35.1042,"NAD27","Terrain Navigator","",1.108,"mi","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.232781879,NA,NA,NA,NA,"no",NA,NA,157398.595267103,-322183.726237229,6.1,11.8,23.5,15.7,1.6,30.6,145,67,17,65,14.3,25.2,5.5,19.7,294,29,82.5,865,3487,52,316,85,327,243,4,-14.5,41.3,1187,936,20.3,64,1948,260.4,1381.2,179.783333333333,1641.6,284.7,9.90833333333333,4.7,219.216666666667,0,32,0.200000000000003,2.5,1.055,1.78833333333333
"597",7577,"UCD45734","","","","Quercus douglasii","Roy V. Parker","Roy V. Parker","s.n.","","","8/26/1958","8/26/1958","08 26 1958","Kern","","   Between Havilah and Walker Basin, Kern County, California","Between Havilah and Walker Basin, Kern County, California","yes",-118.5266944,35.48099722,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.377112614,NA,NA,NA,NA,"no",NA,NA,133550.989751076,-280734.77308023,5.1,10.7,22.1,14.2,-0.1,29.7,137,84,9,57,13,23.8,4.5,19.4,287,25,80.2,963.3,3093,70,291,103,313,210,6,-18.3,39.5,1172,908,21.2,61,1958,363.9,1145.8,156.35,1509.5,399.5,40.4083333333333,16.5,217.775,0,29.5,-1.09999999999999,2.02,0.87,1.45666666666667
"598",7578,"UCD45736","","","","Quercus douglasii","R. Tofsrud","R. Tofsrud","s.n.","","","7/12/1948","7/12/1948","07 12 1948","Glenn","","   Glenn County: Hills about 1 mile north of Stony Ford, southwestern Glenn County","Glenn County: Hills ca. 1 mile north of Stony Ford, southwestern Glenn County","yes",-122.5502333,39.39205,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.064143151,NA,NA,NA,NA,"no",NA,NA,-219461.843779855,155862.180885015,7.1,13.5,23.8,16,0.9,34.1,306,106,12,119,15.1,25.2,6.2,19,543,29,46.2,867,3758,40,306,94,316,222,6,-16.7,43.8,1343,1028,16.6,52,1948,384.8,964.1,145.1,1349,566.3,54.4083333333333,13.9,190.35,0,34.5,0.400000000000006,2.39,1.03,1.74333333333333
"599",7579,"UCD45731","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1872","21","9/24/1948","9/24/1948","09 24 1948","Kern","","   Above Cameron Creek, 1.4 miles from Highway 466, ca. 9 miles east-southeast of Tehachapi, Kern County, California","Above Cameron Creek, 1.4 miles from Highway 466, ca. 9 miles east-southeast of Tehachapi, Kern County, California","yes",-118.3042,35.0976,"NAD27","Terrain Navigator","",5.308,"mi","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.237663883,NA,NA,NA,NA,"no",NA,NA,154479.012496357,-322969.430871718,5.8,11.3,22.8,15.2,1.4,30,152,70,16,67,13.8,24.6,5.3,19.3,306,29,77.8,858.8,3332,57,313,89,325,236,5,-15,40.7,1169,913,19.1,64,1948,260.1,1354.3,177,1614.4,282.6,10.975,5.3,218.225,0,31.8,-0.200000000000003,2.46,1.025,1.74833333333333
"601",7635,"CDA30647","","","","Quercus douglasii","D. G. Kelch","D. G. Kelch","","10","0.325","8/12/2010","8/12/2010","Aug 12 2010","Contra Costa","50 Ft","   Cordelia Hill.","Cordelia Hill.","yes",-122.1219444,38.20694444,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.087278626,NA,NA,NA,NA,"no",NA,NA,-185559.891198061,23262.5152080576,8.7,14.4,21.3,16.7,3.6,30.1,258,114,4,120,15.3,22,7.6,14.4,497,18,50.9,1218.6,3786,25,340,50,341,291,3,-11.8,41.9,1252,935,16.6,58,2010,415.4,927,137.233333333333,1342.2,585.1,71.0416666666667,18.8,194.25,0,29.9,3.7,1.52,0.905,1.25333333333333
"602",7646,"POM158418","","","","Quercus douglasii","H. L. Bauer","H. L. Bauer","","","s.n.","","","Fall 1927","Kern","1067 m","   Tehachapi Pass","Tehachapi Pass","yes",-118.2565,35.105,"WGS84","Google Earth (copied from POM158417)","",5000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.351018332,NA,NA,NA,NA,"no",NA,NA,158808.654140556,-322069.061113302,6.3,12.2,24,16,1.6,31.2,136,63,16,62,14.6,25.8,5.8,20,278,29,88.6,887.7,3613,49,317,83,327,244,4,-14.5,41.9,1217,966,21,63,NA,260.4,1381.2,179.783333333333,1641.6,284.7,9.90833333333333,4.7,219.216666666667,0,32,0.200000000000003,2.5,1.055,1.78833333333333
"606",7672,"UCSB34864","","","","Quercus douglasii","Robert Lloyd","Robert Lloyd","","101","","3/24/1959","3/24/1959","3/24/1959","Kern","1066 m","   One-half mile north of Lebec, Calif, on west side of U.S. Hwy. 99, San Emigdio Mts.","One-half mile north of Lebec, California, on west side of U.S. Highway 99, San Emigdio Mountains","yes",-118.8698,34.8487,"WGS84","Google Earth (copied from UCSB27935)","",500,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.155281586,NA,NA,NA,NA,"no",NA,NA,103288.118303524,-351370.217811556,6.4,11.6,21.9,15.1,0.9,31.3,158,94,5,59,13.8,23.4,6.1,17.4,316,25,75.1,949.9,3293,49,301,100,316,217,4,-16.4,42.5,1310,1027,20.5,55,1959,301.2,1126,153.616666666667,1427.2,347.1,21.8,7.7,213.525,0,29.7,1.3,2.05,0.83,1.46
"607",7692,"RSA258088","","","","Quercus douglasii","Robert A. Norris","Robert A. Norris","","2384","","6/1/1975","6/1/1975","Jun 1 1975","Kern","610 m","   Near junction of State Hwys 58 and 223, approx. 20 mi ESE Bakersfield.","Near junction of State Hwys 58 and 223, ca. 20 miles Eastsoutheast of Bakersfield.","yes",-118.6582,35.2639,"WGS84","Google Earth","",1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.281338453,NA,NA,NA,NA,"no",NA,NA,121972.445379429,-305020.79997406,8.3,14.7,25.5,17.7,3,33.4,126,94,9,62,16.5,27.1,7.4,19.7,290,26,91.4,1053.6,4261,28,337,56,337,282,1,-12.2,42.8,1330,1043,17.9,60,1975,249,1401,186.433333333333,1649.6,262.9,13.6416666666667,7.7,213.558333333333,0,34.8,1.3,2.71,1.275,2.00666666666667
"609",7710,"POM273953","","","","Quercus douglasii","Lyman Benson","Lyman Benson","","12844","","10/21/1947","10/21/1947","Oct 21 1947","Kern","945 m","   Grapevine Canyon, 1-2 miles above Fort Tejon. San Emigdio Mt. San Joaquin Valley.","Grapevine Canyon, 1-2 miles above Fort Tejon. San Emigdio Mountains San Joaquin Valley.","yes",-118.913,34.8907,"WGS84","GoogleEarth","",900,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.125501999,NA,NA,NA,NA,"no",NA,NA,99286.821215061,-346753.927544236,7.3,12.5,22.8,16,2.1,31,148,90,5,57,14.6,24.3,6.9,17.4,301,24,81.8,1032.8,3588,38,321,79,329,250,3,-14.1,41.8,1274,995,17.2,59,1947,313.9,1151.1,157.05,1465.3,363.7,20.6583333333333,7.2,212.883333333333,0,30.3,1.7,2.14,0.89,1.545
"611",7718,"CAS83377","","","","Quercus douglasii","Barton W. Evermann","Barton W. Evermann","s.n.","","","4/20/1915","4/20/1915","20-Apr-15","Kern","","   Havilah","Havilah","yes",-118.5178,35.5178,"WGS84","GEOLocate (copied from CAS54986)","",1.5,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.371430572,NA,NA,NA,NA,"no",NA,NA,134293.271992512,-276634.905071673,5.4,11.2,22.5,14.6,0.2,30.3,143,85,9,59,13.4,24.3,4.9,19.4,295,26,79.4,947,3223,63,297,98,315,217,6,-17.6,40,1195,926,20.2,60,1915,338.1,1237,167.316666666667,1575,363.4,34.2333333333333,15.5,218.033333333333,0,31,-0.5,2.2,0.995,1.62166666666667
"613",7730,"CAS386146","","","","Quercus douglasii","Peter H. Raven","Peter H. Raven","","5277","","4/2/1953","4/2/1953","2-Apr-53","Napa","800 ft","   hills of Tulucay Creek","hills of Tulucay Creek","yes",-122.2765,38.2742,"WGS84","GoogleMaps via BerkeleyMapper","",796,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.082383947,NA,NA,NA,NA,"no",NA,NA,-198893.463338228,31050.3109949171,8.7,13.7,19.8,16,3.5,27.9,335,136,5,142,14.6,20.4,7.7,12.7,618,23,39.7,901.2,3530,26,337,57,337,281,4,-11.9,40.4,1192,847,16.2,58,1953,473.5,830.7,123.716666666667,1304.1,701.9,92.95,24.5,192.15,0,29.7,3.40000000000001,1.47,0.885,1.21833333333333
"614",7731,"UCD45676","","","","Quercus douglasii","Frank W. Gould","Frank W. Gould","","600","","4/6/1939","4/6/1939","04 06 1939","Napa","","   Eleven miles east of Napa","Eleven miles east of Napa","yes",-122.0797861,38.29875556,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.056268944,NA,NA,NA,NA,"no",NA,NA,-181649.956700143,33384.500538127,8.7,14.6,22.4,17.1,3.6,31.7,323,127,5,131,15.7,23.4,7.7,15.7,587,20,43.8,1188.5,3946,25,341,49,342,292,3,-11.6,42.7,1289,957,16.9,57,1939,439.9,934.4,140.166666666667,1374.5,703.9,71.3833333333333,18,194.491666666667,0,32,3.5,1.87,0.945,1.45666666666667
"616",7734,"CAS386136","","","","Quercus douglasii","Peter H. Raven","Peter H. Raven","","3866","","8/21/1951","8/21/1951","21-Aug-51","Napa","2200 ft","   Ridge SE of Mt. Veeder","Ridge southeast of Mount Veeder","yes",-122.4363,38.3714,"WGS84","Geolocate","",950,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.210535566,NA,NA,NA,NA,"no",NA,NA,-212574.283764434,42198.8313462026,7.7,12.4,20.4,15.7,3.4,29.4,592,238,9,249,14.1,21.3,7,14.3,1088,37,22.1,574.3,3368,34,334,66,339,274,9,-11.6,41,1183,799,17.3,60,1951,548.3,697,106.333333333333,1245.3,1081.3,123.275,33.7,192.258333333333,0,29.1,3.40000000000001,1.54,0.75,1.185
"618",7737,"CAS83387","","","","Quercus douglasii","Alice Eastwood","Alice Eastwood","","7954","","9/3/1918","9/3/1918","Sept. 3, 1918","Napa","","   Mt. St. Helena","Mount Street Helena","yes",-122.630209,38.668465,"WGS84","Geolocate (copied from GH365377) ","",3.4,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.471209345,NA,NA,NA,NA,"no",NA,NA,-228573.24983986,75659.8248648718,7.4,11.5,20,15.1,3.4,27.8,667,273,13,312,13.5,21.1,6.8,14.3,1266,53,18.6,399.6,3175,38,335,64,340,277,12,-11.5,40,1073,671,17.4,64,1918,557.8,630.5,97.5833333333333,1188.5,1214.8,133.8,35.9,190.966666666667,0,29.5,2.10000000000001,1.66,0.685,1.20166666666667
"621",7741,"UCD45661","","","","Quercus douglasii","John Thomas Howell","John Thomas Howell","","47355","","9/24/1970","9/24/1970","09 24 1970","Kern","2800 ft.","   Granitic slope south of Bodfish, el. 2800 feet, Kern County","Granitic slope south of Bodfish, el. 2800 feet, Kern County","yes",-118.4905694,35.58606389,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.393363131,NA,NA,NA,NA,"no",NA,NA,136639.551552484,-269014.379817993,7.2,13.2,24.5,16.5,1.4,32.3,149,74,11,58,15.3,26.3,6.6,19.7,293,30,86.3,884.7,3845,38,317,79,325,246,3,-15.2,42.4,1286,1011,17.4,59,1970,286.5,1452.8,194.533333333333,1739.3,304.3,23.3583333333333,12.6,218.541666666667,0,34.8,0.400000000000006,2.82,1.33,2.10666666666667
"622",7742,"UCD45666","","","","Quercus douglasii","Noel Wallace, M. Zigmond","Noel Wallace, M. Zigmond","s.n.","","","8/25/1938","8/25/1938","08 25 1938","Kern","","   Tejon Canyon, Kern County","Tejon Canyon, Kern County","yes",-118.639875,35.03099167,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.172900041,NA,NA,NA,NA,"no",NA,NA,124009.131795959,-330857.434742592,6.8,12.3,23.1,15.8,2.2,30.3,155,110,12,74,14.5,24.8,6.2,18.6,351,31,69.7,798.6,3544,43,324,74,330,257,4,-13.7,40.6,1193,883,18.3,63,1938,294.8,1203.5,160.7,1498,327.2,16.6583333333333,7,214.191666666667,0,30.5,1.10000000000001,2.15,0.885,1.53
"623",7743,"UCD45668","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1883","18","9/26/1948","9/26/1948","09 26 1948","Kern","","   Hillslope in San Emigdio Canyon, 6.5 miles (by road) above headquarters of San Emigdio Ranch, Kern County, California","Hillslope in San Emigdio Canyon, 6.5 miles (by road) above headquarters of San Emigdio Ranch, Kern County, California","yes",-119.1728056,34.98604167,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.274507339,NA,NA,NA,NA,"no",NA,NA,75464.4625027371,-336408.613666841,9,14.9,24.4,17.5,2.9,33.7,91,69,1,42,16.5,25.9,8.3,17.6,204,16,129.9,1660.4,4221,23,335,58,337,279,1,-12.5,43.8,1421,1218,17.9,55,1948,287.2,1259.7,173.166666666667,1546.9,331,13.575,5.2,210.575,0,34.4,2.5,2.59,1.215,1.91666666666667
"624",7746,"UCD48036","","","","Quercus douglasii","A. Atamian, C. Owens, R. Brush, S. Olmsted, M. Furuyama","A. Atamian, C. Owens, R. Brush, S. Olmsted, M. Furuyama","","18","","4/29/2000","4/29/2000","04 29 2000","Napa","2100 ft.","   Border of Yolo and Napa County, McLaughlin Reserve, one as the crow flies mile north of the old town of Knoxville, 250 meters east of old road in an oak woodland, near a burned area (burned Oct 1999)","Border of Yolo and Napa County, McLaughlin Reserve, one as the crow flies mile north of the old town of Knoxville, 250 meters east of old road in an oak woodland, near a burned area (burned Oct 1999)","yes",-122.3427778,38.83972222,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.048231573,NA,NA,NA,NA,"no",NA,NA,-203129.651543347,94034.738740847,7.8,13.4,23.7,16.9,3.3,33.4,379,141,11,160,15.5,25.2,7.1,18.2,690,31,36.9,815.7,3874,33,334,65,340,275,5,-11.7,43.4,1279,949,17.8,58,2000,461.4,840.1,129.316666666667,1301.6,854.3,82.8916666666667,22.3,192.633333333333,0,33.5,1.5,2.19,0.91,1.585
"625",7748,"UCD45654","","","","Quercus douglasii","Ernest C. Twisselmann","Ernest C. Twisselmann","","7408","","6/21/1962","6/21/1962","06 21 1962","Kern","3500 ft.","   Kern County: Tejon Ranch: Tunis Ridge","Kern County: Tejon Ranch: Tunis Ridge","yes",-118.7449639,35.02265556,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.395589202,NA,NA,NA,NA,"no",NA,NA,114440.507055098,-331915.082833904,9.4,16.1,26.3,18.7,4.1,34.1,114,100,8,64,17.6,27.9,8.4,19.5,287,25,96.2,1104.4,4630,21,347,40,344,303,1,-10,43.5,1370,1086,17.8,61,1962,273.5,1355.8,181.933333333333,1629.6,299.5,12.4916666666667,5.8,211.725,0,35,2.2,2.74,1.285,2.025
"628",7760,"UCD45638","","","","Quercus douglasii","D. Sanchez-Mata, M. G. Barbour","D. Sanchez-Mata, M. G. Barbour","s.n.","","","5/12/1996","5/12/1996","05 12 1996","Napa","380 m.","   Napa County: Lake Berryessa. Pope Creek. Open woodland","Napa County: Lake Berryessa. Pope Creek. Open woodland","yes",-122.296325,38.61948333,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.066652,NA,NA,NA,NA,"no",NA,NA,-199695.650196492,69462.9029869409,8.2,13.8,22.7,16.6,2.7,32.4,348,138,8,150,15.3,23.7,7.3,16.4,644,23,39.3,1051,3818,29,329,69,332,262,4,-13.4,43.8,1306,959,16.3,55,1996,466.8,844.5,129.333333333333,1311.4,832.9,91.0833333333333,25,193.375,0,33.1,2.2,2.04,0.935,1.51833333333333
"630",7762,"UCD45634","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","3824","","5/2/1965","5/2/1965","05 02 1965","Napa","2700 ft.","   East side of road along summit of Blue Ridge, 0.1 mile northwest of summit of Mix Canyon Road, Napa County, California. Elevation 2700 feet","East side of road along summit of Blue Ridge, 0.1 mile northwest of summit of Mix Canyon Road, Napa County, California. Elevation 2700 feet","yes",-122.1133722,38.41458611,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.103435801,NA,NA,NA,NA,"no",NA,NA,-184295.912018628,46322.2324170149,7.5,12.4,20.9,15.7,3.3,30,435,193,9,164,14.1,22.1,6.8,15.3,801,28,30.1,776,3400,36,333,66,339,273,7,-12.2,41.4,1186,851,17.9,60,1965,484.8,812.3,124.266666666667,1297,967.7,83.9583333333333,22.3,194.1,0,31.1,3.10000000000001,1.9,0.82,1.4
"631",7763,"UCD45635","","","","Quercus douglasii","Frank W. Gould","Frank W. Gould","","600","","4/6/1939","4/6/1939","04 06 1939","Napa","","   Eleven miles east of Napa, abundant on canyon slopes","Eleven miles east of Napa, abundant on canyon slopes","yes",-122.0752,38.28905556,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.066623679,NA,NA,NA,NA,"no",NA,NA,-181273.067671594,32297.6917729992,8.7,14.5,22.2,17,3.5,31.4,310,121,5,128,15.6,23.2,7.6,15.5,565,19,45.4,1198.2,3913,26,340,51,341,290,3,-11.8,42.5,1281,951,16.8,57,1939,418.3,959.3,142.533333333333,1377.8,615.6,67.5333333333333,17.5,194.258333333333,0,31.4,3.5,1.72,0.975,1.39166666666667
"632",7764,"UCD45631","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1644","","5/7/1948","5/7/1948","05 07 1948","Kern","","   Overlooking Kelso Valley, near Piute Mountains, Kern County, California","Overlooking Kelso Valley, near Piute Mountains, Kern County, California","yes",-118.2164194,35.37239444,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.312502163,NA,NA,NA,NA,"no",NA,NA,161900.41910436,-292311.784528103,5.9,11.3,22.9,15.1,1.1,30.1,102,54,23,60,13.8,24.8,5.2,19.6,239,36,99.4,689.2,3334,56,311,87,322,235,4,-15.7,40.6,1162,927,19.2,63,1948,242.2,1436.2,187.316666666667,1678.6,260.1,9.70833333333333,5,219.966666666667,0,32.5,-0.599999999999994,2.54,1.125,1.85833333333333
"633",7767,"RSA254988","","","","Quercus douglasii","C. W. Tilforth, John Dourley","C. W. Tilforth, John Dourley","","1086","","9/24/1975","9/24/1975","Sep 24 1975","Kern","","   Caliente Creek Rd. between Loraine & Twin Oaks.","Caliente Creek Road between Loraine and Twin Oaks.","yes",-118.4212,35.3069,"WGS84","Google Earth (copied from RSA278312)","",1.5,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.487547489,NA,NA,NA,NA,"no",NA,NA,143434.883739604,-299914.23303112,7,12.9,24,16.1,0.9,31.4,120,70,11,55,15,25.7,6.3,19.4,257,26,97.4,973.1,3734,40,311,84,321,238,2,-16.7,41.9,1261,1008,18.5,59,1975,250.9,1384.3,180.55,1635.2,265.6,13.6166666666667,8,216.833333333333,0,32.5,0.700000000000003,2.41,1.095,1.78166666666667
"638",7781,"UCSB33399","","","","Quercus douglasii","K. Nixon","K. Nixon","","2039","","5/18/1979","5/18/1979","May 18 1979","Kern","","   8.7 MI W OF VALLE VISTA CAMPGROUND (ON CERRO NORESTE RD; 19 MI W OF MT ABEL TURNOFF)","8.7 miles West of OF VALLE VISTA CAMPGROUND (ON CERRO NORESTE Road; 19 miles West of OF Mount ABEL TURNOFF)","yes",-119.4032,34.9348,"WGS84","Geolocate (copied from UCSB33414)","",1.4,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.317483271,NA,NA,NA,NA,"no",NA,NA,54481.8591039674,-342255.547423869,6.8,11.9,22.1,15.4,0.8,32,115,73,3,47,14,23.4,6.5,16.9,238,20,100.8,1151.4,3381,44,299,102,317,214,3,-16.4,44,1355,1114,18.6,53,1979,361.4,1041.8,147.2,1403.3,479.9,24.8416666666667,7.2,211.325,0,30.2,1.60000000000001,2,0.85,1.45833333333333
"639",7790,"POM270075","","","","Quercus douglasii","Lyman Benson","Lyman Benson","","8086","","4/4/1937","4/4/1937","Apr 4 1937","Kern","854 m","   West of Mckittrick, Temblor Mt, San Joaquin Valley.","West of McKittrick; Temblor Mountains, San Joaquin Valley.","yes",-119.8129,35.3457,"WGS84","Geolocate","",8.7,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.362938493,NA,NA,NA,NA,"no",NA,NA,16990.4129166381,-296782.672645996,8,13.2,24,16.9,3.4,31.7,107,66,2,48,15.5,25.4,7.7,17.6,224,21,114,1231,3894,32,336,60,342,282,1,-9.9,42.6,1250,1027,18.2,63,1937,355.6,1087.2,155.916666666667,1442.8,473.9,23.6583333333333,6.7,209.9,0,32.9,1.2,2.26,0.965,1.63666666666667
"641",7796,"SBBG58993","","","","Quercus douglasii","W. B. Holt","W. B. Holt","","578","","11/7/1940","11/7/1940","Nov 7 1940","Kern","","   Ridge Route (US Hwy 99) about 1.25 mi E of Lebec","Ridge Route (US Highway 99) ca. 1.25 miles East of Lebec","yes",-118.8794,34.8201,"WGS84","CalTopo 1915-1945","",400,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.15942869,NA,NA,NA,NA,"no",NA,NA,102448.34926405,-354555.43002025,5.7,10.9,21.2,14.3,-0.3,31.2,167,96,5,61,13,22.7,5.4,17.4,329,26,70.1,890.6,3067,60,280,115,305,190,6,-18.9,42.8,1328,1040,20.4,52,1940,306.4,1096,149.583333333333,1402.5,357.3,25.25,8.5,214.175,0,28.9,1.10000000000001,1.98,0.785,1.39833333333333
"642",7803,"UCD45698","","","","Quercus douglasii","Ernest C. Twisselmann","Ernest C. Twisselmann","","8232","","5/17/1963","5/17/1963","05 17 1963","Kern","2320 ft.","   Kern County: Poso Creek, ca. 0.5 mile above Poso Narrows","Kern County: Poso Creek, ca. 0.5 mile above Poso Narrows","yes",-118.7421611,35.55561389,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.102701418,NA,NA,NA,NA,"no",NA,NA,113910.831201228,-272728.807339197,6.6,12,22.9,15.4,0.8,31.6,208,143,11,92,14.2,24.7,6.2,18.5,455,41,53.2,598.4,3456,46,306,95,318,222,5,-16.1,41.8,1288,929,18.5,57,1963,370.9,1192.3,164.15,1563.4,412.6,33.4083333333333,13.1,214.55,0,31.5,0.600000000000009,2.18,1.03,1.655
